"ENSG00000000003","TSPAN6"
"ENSG00000000005","TNMD"
"ENSG00000000419","DPM1"
"ENSG00000000457","SCYL3"
"ENSG00000000460","C1orf112"
"ENSG00000000938","FGR"
"ENSG00000000971","CFH"
"ENSG00000001036","FUCA2"
"ENSG00000001084","GCLC"
"ENSG00000001167","NFYA"
"ENSG00000001460","STPG1"
"ENSG00000001461","NIPAL3"
"ENSG00000001497","LAS1L"
"ENSG00000001561","ENPP4"
"ENSG00000001617","SEMA3F"
"ENSG00000001626","CFTR"
"ENSG00000001629","ANKIB1"
"ENSG00000001630","CYP51A1"
"ENSG00000001631","KRIT1"
"ENSG00000002016","RAD52"
"ENSG00000002079","MYH16"
"ENSG00000002330","BAD"
"ENSG00000002549","LAP3"
"ENSG00000002586","CD99"
"ENSG00000002587","HS3ST1"
"ENSG00000002726","AOC1"
"ENSG00000002745","WNT16"
"ENSG00000002746","HECW1"
"ENSG00000002822","MAD1L1"
"ENSG00000002834","LASP1"
"ENSG00000002919","SNX11"
"ENSG00000002933","TMEM176A"
"ENSG00000003056","M6PR"
"ENSG00000003096","KLHL13"
"ENSG00000003137","CYP26B1"
"ENSG00000003147","ICA1"
"ENSG00000003249","DBNDD1"
"ENSG00000003393","ALS2"
"ENSG00000003400","CASP10"
"ENSG00000003402","CFLAR"
"ENSG00000003436","TFPI"
"ENSG00000003509","NDUFAF7"
"ENSG00000003756","RBM5"
"ENSG00000003987","MTMR7"
"ENSG00000003989","SLC7A2"
"ENSG00000004059","ARF5"
"ENSG00000004139","SARM1"
"ENSG00000004142","POLDIP2"
"ENSG00000004399","PLXND1"
"ENSG00000004455","AK2"
"ENSG00000004468","CD38"
"ENSG00000004478","FKBP4"
"ENSG00000004487","KDM1A"
"ENSG00000004534","RBM6"
"ENSG00000004660","CAMKK1"
"ENSG00000004700","RECQL"
"ENSG00000004766","VPS50"
"ENSG00000004776","HSPB6"
"ENSG00000004777","ARHGAP33"
"ENSG00000004779","NDUFAB1"
"ENSG00000004799","PDK4"
"ENSG00000004809","SLC22A16"
"ENSG00000004838","ZMYND10"
"ENSG00000004846","ABCB5"
"ENSG00000004848","ARX"
"ENSG00000004864","SLC25A13"
"ENSG00000004866","ST7"
"ENSG00000004897","CDC27"
"ENSG00000004939","SLC4A1"
"ENSG00000004948","CALCR"
"ENSG00000004961","HCCS"
"ENSG00000004975","DVL2"
"ENSG00000005001","PRSS22"
"ENSG00000005007","UPF1"
"ENSG00000005020","SKAP2"
"ENSG00000005022","SLC25A5"
"ENSG00000005059","MCUB"
"ENSG00000005073","HOXA11"
"ENSG00000005075","POLR2J"
"ENSG00000005100","DHX33"
"ENSG00000005102","MEOX1"
